domain,temp_diurnal_range,precip_seasonality,solar_radiation,soil_pH
AF,4.37444461920237,0.347909391826994,0.2631717024078,0.550647022585153
out,2.69134429437546,0.114310617571148,0.886182441087322,0.00690280844251758
AF,-2.57395705502316e-05,1.15349312174798,0.718653865687239,0.399412972575005
AF,2.43753349814452,0.164177674681186,0.551903888473306,0.177649903104435
AF,3.62374769121704,0.300712658584188,0.409940156800048,0.0167666261071506
AF,4.41772813558213,1.50915721132289,0.325520909182391,0.00918465334148231
AF,2.99692292630264,2.74900790610109,0.113634984960464,0.0937019915975356
AF,0.680729222471739,0.00221429521640843,0.800413973749755,0.0555014879185373
AF,0.466777850298289,0.403260444270007,0.263526374901183,0.281704460155076
out,1.92619710581563,0.00176812071651484,2.30374455474913,-0.0280291564820716
AF,0.0779182272541874,0.493048921102163,0.566608352958798,0.243624798933742
AF,2.14126532119771,0.292467027218341,0.00868313382081074,0.331504768184327
AF,0.0180844713400601,0.554474047636636,0.211566041240608,0.409325063052833
AF,0.0873051468064485,0.0426240202191612,0.000272832087428814,0.0100215750226646
AF,0.00781842029797461,0.348473048294941,0.537497894902621,0.268499574635432
AF,0.0136798197762223,0.528138799410824,0.226247337798939,0.374715078051165
AF,0.00489804290503313,0.132583691634344,0.179375031901837,0.564473667897104
out,1.84391630372219,0.0731201094345679,1.48190711367914,0.241801809437928
AF,3.67255110750996,0.0368600248612094,1.56486533362339,0.0421605382675836
AF,1.97189978974074,0.0265767985473227,1.27266337663818,0.0842359421233276
out,2.17182648754121,0.0439766216270858,1.62509959258482,0.0901667858219482
AF,0.00614533029316937,0.92897119734465,0.170063188758757,0.0860567212493584
AF,2.31847630184371,1.50364056876531,0.00396304373611779,-0.00119327420389539
AF,4.7707815199728,2.28792666540559,0.208764505478092,0.13894074605426
AF,2.83861783936436,1.61541481877635,0.0411825790671342,0.00232107828380731
AF,0.0344858951047587,0.239735512517618,0.0676044235795724,0.0479140643063847
out,1.43595036725198,0.11390102504389,1.5201567746243,0.120199849777452
AF,1.27397868039299,0.0832721431661455,0.760360936053008,0.160959424633788
AF,0.213346742422203,0.353775616920731,0.0482574965080999,0.0250039300816912
AF,3.86470590342162,0.0957160761190513,0.441553048762324,0.00530955901209977
out,1.76126704953027,0.252299384114264,0.0803538176134589,0.328068132101743
AF,3.92377752066175,0.000216271853066646,2.35073316376627,0.00207349617889805
AF,4.21446386361829,0.233780328566303,0.464422312023988,0.00207348344744918
AF,1.55498141793501e-05,0.744960610015915,0.37836036893084,0.155838813471232
AF,0.0161967635269868,0.458919975366499,0.190120134807478,0.283035562733917
AF,1.60725177747088,0.441836631340358,0.518507427821308,0.211371189418833
AF,4.06784845713639,0.783145451063354,0.257975932743288,0.309330019509677
AF,3.16859336234311,0.00210005789038601,2.24429527019619,0.198693047017955
out,0.00158799499815784,0.0118997791637242,0.451705402916074,0.0843042781999091
AF,2.93129424225441e-05,0.725938593013459,0.382148180737559,0.20466415677044
AF,0.442818698152788,0.48024065539164,1.16870019084531,0.243838570146044
out,1.41748231500704,0.0550431856108281,1.63102960643647,0.274355435874798
AF,1.65989254346703,0.602997472174936,0.777283706469737,0.355152595497575
AF,0.211145480697775,0.0141070762187666,0.457800075143524,0.164452830736283
AF,0.20404454531877,0.18030520918643,0.0782189755143533,0.00142412629040629
AF,4.95239715218264,0.000468424893527407,1.61100948344554,-0.00190235163610418
AF,3.89322323588237,0.000393866756207817,2.27946309165416,0.333165437408347
AF,0.0853830311727672,0.00672392569217122,0.160796736362362,0.107506264243904
out,5.45713423837735,0.00766277995678075,2.15918638189453,0.19397222501384
out,0.979720790092954,0.00713303400140739,2.08084994199815,0.623659389817075
AF,1.07887383092678,0.139795970389927,0.858478915039184,0.197361770023774
AF,0.132609279961339,0.825499442332502,0.125945552378857,0.0728325554921043
AF,0.0284382584335993,0.920465520142204,0.0871844869431715,0.00903960515944836
AF,0.555412785294137,0.100609724530797,0.0355695200792451,0.311748300767666
out,0.0181709180710151,0.963954838727432,0.0979873851420332,0.0860708335952809
