anc_node,state,anc_node_ages,anc_range
84,other,-6.01921,129.192412993968
85,other,-3.56411,138.015858104271
86,other,-2.356,140.214051266166
87,other,-1.0765,112.925783595946
88,other,-0.63214,120.890399749974
89,other,-0.481669999999999,175.078417229242
90,other,-2.05879,138.394151811202
91,other,-5.94025,130.869174289553
92,other,-1.95584,143.751608633681
93,AFother,-0.320819999999999,231.582205644181
94,other,-3.38815,132.34145250031
95,other,-4.44452,253.640818419939
96,other,-3.94965,251.268814635941
97,AFother,-3.06037,120.808606516043
98,AF,-2.99813,170.334409661246
99,AF,-2.83487,83.101925673866
100,AF,-0.866239999999999,-148.536512818642
101,AF,-0.29467,49.975665931823
102,AFother,-6.75658,380.992883650461
103,AF,-5.17371,91.281249066963
104,AF,-5.04561,71.8758043168403
105,AF,-4.27817,37.0932315876951
106,AF,-3.77009,33.0853631250775
107,AF,-3.04594,71.896252625323
108,AF,-2.49384,72.530150188288
109,AFother,-2.19071,196.31398558857
110,AFother,-0.617469999999999,495.503411153819
111,AF,-1.94808,84.8195835864164
112,AF,-1.23267,83.183718907797
113,AF,-1.002,81.3024745273847
114,AFother,-0.27336,184.361949280407
115,AF,-2.77338,71.978045859254
116,AF,-3.07227,65.4345871447764
117,AF,-2.95376,83.7767198537965
118,AF,-2.63654,83.3473053756589
119,AF,-2.83784,81.7932339309705
120,AF,-2.36365,81.0264223628676
121,AF,-0.78013,81.7932339309705
122,AF,-0.49452,68.1337638644984
123,AF,-0.12242,60.533383205319
124,AF,-2.65248,74.6363259620105
125,AF,-1.89736,83.5313401520036
126,AF,-1.31506,83.7562715453138
127,AF,-1.42888,44.9130834892952
128,AF,-2.26365,21.4298272899143
129,AF,-1.79241,9.16084220026869
130,AFother,-2.37572,377.005463496326
131,other,-4.53892,19.5792553722261
67,other,-6.22208,282.306517456735
68,other,-6.15486,83.7562715453138
69,other,-5.51786,94.225805488478
70,other,-5.22494,94.225805488478
71,other,-3.8291,94.225805488478
72,other,-3.4462,94.225805488478
73,other,-2.61053,19579770313363116
74,AFother,-0.00980999999999987,574.024915727551
75,other,-1.57916,-7.56527153606171e+28
76,other,-0.64127,94.225805488478
77,other,-3.6464,94.225805488478
78,other,-2.99317,94.225805488478
79,other,-2.71384,94.225805488478
80,other,-1.92026,94.225805488478
81,other,-0.35017,-759750704321576
82,other,-3.25731,83.7562715453138
