model,theta,se,alpha,sigma_sq
BM1,4.02576067700534,2.69533846384112,NA,9.27485913460039
BM1,3.91623855474162,2.64545094692426,NA,9.30559070744081
BM1,4.27511137356121,2.37836710582887,NA,4.85370209598092
BM1,4.7130182306125,2.5323617059622,NA,6.83258636728155
BM1,4.04996002715284,2.7945000372436,NA,5.92223876040699
BM1,4.07556673546484,3.2316018517318,NA,14.6156411546722
BM1,3.82317339908232,2.3432678838904,NA,9.07008306094412
BM1,3.8719100758625,2.25320921446481,NA,4.65423386454546
BM1,4.635347923335,3.07439484558117,NA,9.04549097686787
BM1,4.1780915685966,3.13940742599979,NA,9.50920880918996
BM1,3.96379725156145,2.26345446694061,NA,6.06558859834914
BM1,4.31225035738967,2.65084324287765,NA,8.69352551594732
BM1,4.16987603038961,3.21548336334698,NA,9.57535195650612
BM1,4.14025940201449,3.24693368462722,NA,11.6949202122968
BM1,4.18371997809191,3.26829395894085,NA,9.75880163917845
BM1,4.04116560536997,3.29687183296437,NA,15.28673281019
BM1,4.13557257783953,2.44148494276644,NA,6.18927133124088
BM1,3.96531410419912,4.06692447889641,NA,15.5836688909963
BM1,3.90318950588434,3.28167195961212,NA,16.8148803392154
BM1,4.08127858261747,2.90623310025153,NA,8.1270569577487
BM1,3.97529198712116,2.44240077182617,NA,7.71910632924076
BM1,4.7437071918746,2.87790774680348,NA,10.3158862113178
BM1,4.2796579200716,5.88893333975602,NA,32.8387931562211
BM1,4.65216241014079,3.95279257047793,NA,14.1275826219553
BM1,4.04079599015994,4.13482861613944,NA,15.952563420151
BM1,4.16734882018518,3.076518023897,NA,10.2158618777177
BM1,3.94499938923838,2.53159924556284,NA,5.84940184851671
BM1,4.08920728048416,2.86285117895709,NA,8.44457599213466
BM1,4.12662420000897,2.73317676256418,NA,6.68959040448197
BM1,4.51314813704361,2.95693967881793,NA,11.1989717689347
BM1,4.47131716518203,2.47548008118842,NA,5.70058674950567
BM1,4.24274532568296,3.21912744906893,NA,10.2622429503315
BM1,4.10164407308067,3.79584959747361,NA,13.995115258387
BM1,4.19525967808036,2.41264774838845,NA,6.01961704566343
BM1,4.00820156516365,2.51706991837894,NA,9.90862700510229
BM1,3.9645474593609,2.66568502915678,NA,8.27730108125032
BM1,4.10103016052953,3.05562121770746,NA,9.91057632286883
