anc_node,state,anc_node_ages,anc_hvolume
108,AFother,-0.803129999999999,2.69645968170942
109,AFother,-0.0955699999999995,2.69645968170942
110,AF,-1.19017,2.69645968170942
111,AF,-1.04832,2.69645968170942
112,AF,-0.79562,2.69645968170942
113,AF,-0.994009999999999,2.69645968170942
114,AF,-1.50829,2.69645968170942
115,AF,-2.16366,2.69645968170942
116,AF,-2.10437,2.69645968170942
117,AF,-1.27703,2.69645968170942
118,AF,-1.94312,2.69645968170942
119,AF,-1.5767,2.69645968170942
120,AF,-0.36801,2.69645968170942
121,AF,-0.238239999999999,2.69645968170942
122,AF,-0.21803,2.69645968170942
123,AF,-1.50688,2.69645968170942
124,AF,-0.82287,2.69645968170942
125,AF,-1.07196,2.69645968170942
126,AF,-3.98503,2.69645968170942
127,AF,-2.95958,2.69645968170942
128,AF,-2.1956,2.69645968170942
129,AF,-1.17989,2.69645968170942
130,AF,-0.85881,2.69645968170942
131,other,-3.73077,2.69645968170942
67,other,-12.08806,4.59741176589402
68,other,-11.49495,-8.84679334796465e+112
69,other,-11.01841,-5.63742560220556e+113
70,other,-9.62847,2.69645968170942
71,other,-9.41773,2.69645968170942
72,other,-5.72811,2.69645968170942
73,AFother,-0.73339,2.69645968170942
74,other,-4.13511,2.69645968170942
75,other,-2.51271,2.69645968170942
76,other,-6.16268,2.69645968170942
77,other,-5.65402,2.69645968170942
78,other,-4.85997,2.69645968170942
79,other,-2.17642,2.69645968170942
80,other,-5.54383,2.69645968170942
81,other,-8.3802,2.69645968170942
82,other,-11.83031,2.69645968170942
83,other,-11.09464,2.69645968170942
84,other,-10.53951,2.69645968170942
85,other,-9.78221,2.69645968170942
86,other,-6.00143,2.69645968170942
87,other,-3.80158,2.69645968170942
88,other,-3.14891,2.69645968170942
89,other,-2.29645,2.69645968170942
90,other,-0.516060000000001,2.69645968170942
91,other,-5.2036,2.69645968170942
92,other,-2.84623,2.69645968170942
93,AFother,-0.63358,2.69645968170942
94,other,-6.17791,2.69645968170942
95,other,-4.71771,2.69645968170942
96,other,-4.0567,2.69645968170942
97,other,-3.68955,2.69645968170942
98,AFother,-2.63454,2.69645968170942
99,AFother,-0.78068,2.69645968170942
100,AF,-0.47086,2.69645968170942
101,AFother,-0.846870000000001,2.69645968170942
102,AFother,-8.15418,2.69645968170942
103,AF,-7.41551,2.69645968170942
104,AF,-6.0021,2.69645968170942
105,AF,-5.53108,2.69645968170942
106,AF,-4.7438,2.69645968170942
107,AFother,-2.99976,2.69645968170942
108,AFother,-0.85745,2.69645968170942
109,AF,-3.59196,2.69645968170942
110,AF,-3.36909,2.69645968170942
111,AF,-1.96933,2.69645968170942
112,AFother,-0.475010000000001,2.69645968170942
113,AF,-4.28671,2.69645968170942
114,AF,-5.29754,2.69645968170942
115,AF,-5.01964,2.69645968170942
116,AF,-4.28208,2.69645968170942
117,AF,-2.94727,2.69645968170942
118,AF,-3.14047,2.69645968170942
119,AF,-1.11336,2.69645968170942
120,AF,-3.98785,2.69645968170942
121,AF,-2.64734,2.69645968170942
122,AF,-1.34061,2.69645968170942
123,AF,-0.79482,2.69645968170942
124,AF,-0.699540000000001,2.69645968170942
125,AF,-3.32095,2.69645968170942
126,AF,-7.15273,2.69645968170942
127,AF,-1.82208,2.69645968170942
128,AF,-6.89842,2.69645968170942
129,AF,-3.64362,2.69645968170942
130,AF,-1.49068,2.69645968170942
131,other,-7.14406,2.69645968170942
67,other,-10.262,4.61807146756962
68,other,-9.55898,-4.05376097464322e+106
69,other,-8.71203,-8.09859107574323e+105
70,other,-7.84403,2.69645968170942
71,other,-5.39842,2.69645968170942
72,other,-4.35134,2.69645968170942
73,AFother,-0.251200000000001,2.69645968170942
74,other,-2.9951,2.69645968170942
75,other,-1.42346,2.69645968170942
76,other,-7.32462,2.69645968170942
77,other,-6.01315,2.69645968170942
78,other,-4.7548,2.69645968170942
79,other,-1.4895,2.69645968170942
80,other,-7.13521,2.69645968170942
81,other,-7.54685,2.69645968170942
82,other,-9.20108,2.69645968170942
83,other,-8.4573,2.69645968170942
84,other,-7.3532,2.69645968170942
85,other,-6.56275,2.69645968170942
86,other,-3.22323,2.69645968170942
87,other,-2.5127,2.69645968170942
88,other,-2.33969,2.69645968170942
89,other,-1.22621,2.69645968170942
90,other,-0.402140000000001,2.69645968170942
91,other,-2.48766,2.69645968170942
92,other,-2.37069,2.69645968170942
93,other,-0.658100000000001,2.69645968170942
94,other,-3.68989,2.69645968170942
95,other,-5.74356,2.69645968170942
96,other,-3.81798,2.69645968170942
97,AFother,-2.83578,2.69645968170942
98,AFother,-2.73328,2.69645968170942
99,AFother,-2.62705,2.69645968170942
100,AFother,-0.92108,2.69645968170942
101,AF,-0.759970000000001,2.69645968170942
102,AFother,-7.1975,2.69645968170942
103,AF,-5.99958,2.69645968170942
104,AF,-3.72491,2.69645968170942
105,AF,-3.07999,2.69645968170942
106,AF,-2.15144,2.69645968170942
107,AFother,-1.50815,2.69645968170942
108,AFother,-0.607090000000001,2.69645968170942
109,AF,-1.89951,2.69645968170942
110,AF,-1.16813,2.69645968170942
111,AF,-0.96801,2.69645968170942
112,AFother,-0.68257,2.69645968170942
113,AF,-2.03494,2.69645968170942
114,AF,-3.39793,2.69645968170942
115,AF,-2.80261,2.69645968170942
116,AF,-2.3368,2.69645968170942
