region,temp_diurnal_range,precip_seasonality,soil_pH,solar_radiation
inside_AF,77,26,51.0210838317871,13759.1669921875
inside_AF,116,85,54,14492.1669921875
inside_AF,104,59,53,14443.4169921875
inside_AF,120,23,56.283130645752,15638.25
inside_AF,123,38,56,15269.6669921875
inside_AF,120,40,55.274097442627,14890.9169921875
inside_AF,124,43,55.4518089294434,15286.0830078125
inside_AF,104,39,51.5271072387695,13672.75
inside_AF,112,65,53.2319259643555,15006.25
inside_AF,130,22,54.0572280883789,15724.6669921875
inside_AF,131,23,54.6174697875977,15673.6669921875
inside_AF,114,64,53.774097442627,14861.3330078125
inside_AF,108,64,53.2620468139648,14793.8330078125
inside_AF,120,73,54.9367485046387,15169.6669921875
inside_AF,104,64,52.7439765930176,14509.9169921875
inside_AF,116,71,52.8644561767578,15190.9169921875
inside_AF,113,48,55,14296.9169921875
inside_AF,132,29,53.3945770263672,16100.4169921875
inside_AF,123,73,56,15393.4169921875
inside_AF,110,66,51.2198791503906,14376.5
inside_AF,87,41,50,13727.3330078125
inside_AF,103,39,53,13266.75
inside_AF,106,58,52.2801208496094,14285.6669921875
inside_AF,84,34,57.6355438232422,15654.6669921875
inside_AF,93,45,51.4487953186035,13059
inside_AF,92,46,52,13097.8330078125
inside_AF,94,26,49.7439765930176,13257.75
inside_AF,77,39,50.3343391418457,13143.1669921875
inside_AF,92,25,50.1777114868164,13273.4169921875
inside_AF,87,41,49.6234931945801,13582.0830078125
inside_AF,107,67,50,14523.9169921875
inside_AF,125,66,50,14792.0830078125
inside_AF,105,82,52.5632514953613,15109.3330078125
inside_AF,80,43,50,12904.4169921875
inside_AF,83,45,50,13433.1669921875
inside_AF,128,71,50.6295166015625,14593.4169921875
inside_AF,138,88,55.7048187255859,15824.8330078125
inside_AF,94,44,51.2921676635742,14052.75
inside_AF,107,52,51,13939.75
inside_AF,100,52,58,14905.75
inside_AF,127,78,50.0150604248047,14636.5830078125
inside_AF,96,44,51.0662651062012,13860.0830078125
inside_AF,107,57,55.7680740356445,14875.25
inside_AF,106,53,50,14999.1669921875
inside_AF,112,61,56,14913.75
inside_AF,74,19,58.0993957519531,16294.4169921875
inside_AF,121,68,55,14414.25
inside_AF,124,79,52,14663.0830078125
inside_AF,116,80,53,14796.5830078125
inside_AF,65,16,59.4608421325684,16877.25
inside_AF,90,39,50,13615.1669921875
inside_AF,84,42,50,13284.9169921875
inside_AF,86,35,50.3072280883789,12907
inside_AF,98,22,51,13075.6669921875
inside_AF,99,64,52.9036140441895,14147.75
inside_AF,94,9,50,13958.1669921875
inside_AF,95,12,52,14453
inside_AF,107,27,50.3765068054199,13678.3330078125
inside_AF,110,27,50.8253021240234,13892.5
inside_AF,95,10,54,14419
inside_AF,97,12,50,14394.3330078125
inside_AF,108,5,52,15268.0830078125
inside_AF,98,30,53,13683.4169921875
inside_AF,102,10,50,14333.3330078125
inside_AF,99,28,52,13606.1669921875
inside_AF,96,23,50,13536.75
inside_AF,113,69,50,14309.1669921875
inside_AF,115,25,50,13829.5
inside_AF,116,18,52.2349395751953,14894.6669921875
inside_AF,99,14,52.9156608581543,14439.25
inside_AF,107,15,50.0813255310059,13761.25
inside_AF,119,85,53,14982.4169921875
inside_AF,105,11,51,14492.0830078125
inside_AF,99,30,49.7891578674316,13604.6669921875
inside_AF,120,16,52,14729.9169921875
inside_AF,91,39,51.283130645752,13711.75
inside_AF,113,17,50.8042182922363,13326.4169921875
inside_AF,116,69,53,14966.6669921875
inside_AF,97,27,50,13352.8330078125
inside_AF,119,67,49,14419.9169921875
inside_AF,95,27,51,13241.5830078125
inside_AF,101,21,50.8463859558105,12954.0830078125
inside_AF,121,72,52,13991.5830078125
inside_AF,79,27,50,13466.0830078125
inside_AF,90,25,50.1536140441895,13178.9169921875
inside_AF,95,31,52.897590637207,13776.1669921875
inside_AF,112,67,49.1837348937988,14367.0830078125
inside_AF,109,63,55.7680740356445,15104
inside_AF,63,18,54.966869354248,16814.666015625
inside_AF,66,15,54,16729.083984375
inside_AF,96,50,50.2018089294434,14740.9169921875
inside_AF,120,81,52.9006042480469,15005.6669921875
inside_AF,130,79,53.1415672302246,15265.5
inside_AF,123,86,54,15427.5
inside_AF,118,87,53,15409.75
inside_AF,127,73,50.2710838317871,14619.1669921875
inside_AF,126,65,48.4939765930176,15220.4169921875
inside_AF,104,67,51.7771072387695,13909.8330078125
inside_AF,98,58,53,14044
inside_AF,99,50,53.5,13876.0830078125
inside_AF,120,76,52,14140.1669921875
inside_AF,102,25,51,13583.5830078125
inside_AF,102,44,52.8373489379883,13698.4169921875
inside_AF,96,56,60,16304.8330078125
inside_AF,124,73,50.147590637207,14202.75
inside_AF,98,62,49,14986.5
inside_AF,72,19,61.783130645752,16790.75
inside_AF,118,68,49.2138557434082,14657.75
inside_AF,95,31,54.0060234069824,13660.25
inside_AF,115,83,52.475902557373,14556.75
inside_AF,106,56,52,15305
inside_AF,117,71,48.8222885131836,14787.1669921875
inside_AF,90,23,60.3403625488281,16025.25
inside_AF,67,65,53,18946.166015625
inside_AF,102,53,55.1957817077637,14897.6669921875
inside_AF,117,65,53,15002.5830078125
inside_AF,103,57,58.783130645752,15140.75
inside_AF,96,58,52,13800
inside_AF,92,51,56.3915672302246,15259.75
inside_AF,86,22,58.7289161682129,16010.25
inside_AF,100,75,50.9548187255859,14067.6669921875
inside_AF,96,60,52,13957.9169921875
inside_AF,129,76,51.9186744689941,14511.5830078125
inside_AF,73,31,50.9367485046387,13635.4169921875
inside_AF,78,31,50,13575.3330078125
inside_AF,76,32,51.2349395751953,13535.6669921875
inside_AF,122,86,53.1897583007812,15050.25
inside_AF,71,64,53.0512046813965,18920
inside_AF,90,59,61.9698791503906,18957.25
inside_AF,89,58,58.0993957519531,18456
inside_AF,66,63,53,19006.75
inside_AF,109,65,60.4397583007812,15337
inside_AF,117,72,54,14998.75
inside_AF,121,59,55,15884.5
inside_AF,74,49,57.7198791503906,18082.333984375
inside_AF,63,19,51.2861442565918,17077.666015625
inside_AF,92,65,62.171688079834,18877.333984375
inside_AF,84,58,64.1927719116211,18791.5
inside_AF,62,56,56,18423.416015625
inside_AF,66,28,63.5361442565918,17049
inside_AF,81,21,59,16029.9169921875
inside_AF,73,49,61,17456.916015625
inside_AF,94,49,56,15411.3330078125
inside_AF,112,58,52.5873489379883,14791.25
inside_AF,98,63,54.3373489379883,13944.75
inside_AF,81,48,57.680721282959,17569.166015625
inside_AF,88,62,60.1506042480469,18859.333984375
inside_AF,127,68,56.0030136108398,15598.3330078125
inside_AF,63,19,52.0813255310059,17091.416015625
inside_AF,64,19,52,17098.833984375
inside_AF,87,50,60,17673.916015625
inside_AF,119,24,50.4969863891602,14553.3330078125
inside_AF,94,44,58.6295166015625,15448.5830078125
inside_AF,119,39,52.4006042480469,14547.9169921875
inside_AF,103,62,51,14253.5
inside_AF,78,43,51,16683.916015625
inside_AF,85,42,63.3403625488281,17428.25
inside_AF,105,66,49.2560234069824,14631.6669921875
inside_AF,124,74,53.2439765930176,14798.4169921875
inside_AF,107,61,60.3855438232422,15251.5
inside_AF,70,9,54.1234931945801,17010.916015625
inside_AF,73,24,60,16237.9169921875
inside_AF,72,63,59.6325302124023,18885.833984375
inside_AF,82,45,60.4277114868164,17669
inside_AF,87,54,65,17577.5
inside_AF,94,55,51.8403625488281,14903.9169921875
inside_AF,92,47,51.1837348937988,14761.6669921875
inside_AF,77,61,66.6927719116211,19221.583984375
inside_AF,77,44,49.3433723449707,15490.6669921875
inside_AF,81,47,53.8102416992188,15322.8330078125
inside_AF,91,51,57,15318.8330078125
inside_AF,59,59,60.5090370178223,17883.416015625
inside_AF,77,49,57.6897583007812,17429.25
inside_AF,121,85,53.8222885131836,15075.6669921875
inside_AF,127,65,54.9367485046387,15227.25
inside_AF,125,65,54,15843.5830078125
inside_AF,123,83,56,16057.0830078125
inside_AF,66,64,54.7138557434082,18864.5
inside_AF,95,58,63,18731.75
inside_AF,95,65,66.1716842651367,18700.833984375
inside_AF,81,60,63.8253021240234,18556.916015625
inside_AF,75,58,61.0180740356445,18074.416015625
inside_AF,124,79,51.0180740356445,14662.75
inside_AF,117,70,50,14719.5830078125
inside_AF,117,82,51.2951812744141,14464.25
inside_AF,125,30,55.3945770263672,14731.4169921875
inside_AF,77,61,63.8493957519531,18283.333984375
inside_AF,127,71,56,15324.1669921875
inside_AF,131,87,53.2198791503906,15539.3330078125
inside_AF,135,77,50.9487953186035,14742
inside_AF,127,69,57,15525.6669921875
inside_AF,111,63,52.7560234069824,14991.75
inside_AF,90,58,63.9698791503906,18943
inside_AF,76,59,65.2650604248047,18776.416015625
inside_AF,65,61,54.8222885131836,18365.416015625
inside_AF,113,74,54,15153
inside_AF,69,62,63.5512046813965,18394.333984375
inside_AF,103,53,51.828311920166,14897.6669921875
inside_AF,73,35,54.5722885131836,14674.9169921875
inside_AF,75,42,51.1415672302246,16318.25
inside_AF,92,45,51.7018089294434,13881.75
inside_AF,115,82,51,14364.8330078125
inside_AF,82,43,63,17645.25
inside_AF,100,65,51.2620468139648,13967
inside_AF,99,56,53.3674697875977,14016.5
inside_AF,64,16,53,16769.416015625
inside_AF,92,52,53.4397583007812,15279.25
inside_AF,78,15,59.4156608581543,16240.6669921875
inside_AF,81,61,64.1415634155273,18699.083984375
inside_AF,68,65,53.5843391418457,18987.916015625
inside_AF,75,60,57,18508.916015625
inside_AF,66,22,55.0391578674316,16667.75
inside_AF,86,27,60.8584327697754,16177.5
inside_AF,91,47,57,15412.6669921875
inside_AF,93,40,57,15508.9169921875
inside_AF,64,16,53.7379531860352,16798.083984375
inside_AF,62,64,53.069278717041,18823.5
inside_AF,65,17,61.8825302124023,16845.916015625
inside_AF,68,13,55.3253021240234,16574.5
inside_AF,63,17,53,16770.833984375
inside_AF,73,18,58.1987953186035,16330.8330078125
inside_AF,75,64,56,18657.5
inside_AF,77,21,56.6355438232422,16524.75
inside_AF,83,56,65,18736.5
inside_AF,66,58,54.7620468139648,18953
inside_AF,68,17,58.8704833984375,16733.583984375
inside_AF,76,18,61,16350.1669921875
inside_AF,61,58,56.6686744689941,18644.083984375
inside_AF,87,60,58.9457817077637,18917.666015625
inside_AF,80,58,64.1716842651367,18961.583984375
inside_AF,63,14,56.8825302124023,16942
inside_AF,65,60,55.5361442565918,19114.583984375
inside_AF,121,78,51.9909629821777,14652.1669921875
inside_AF,76,44,49.1656608581543,15286.25
inside_AF,83,65,63.3403625488281,18954.416015625
inside_AF,91,61,65.1234970092773,18615.833984375
inside_AF,66,22,57.0451812744141,16663.416015625
inside_AF,97,58,54,13916.3330078125
inside_AF,112,61,53,14448.0830078125
inside_AF,99,57,53.3042182922363,13949.9169921875
inside_AF,64,24,53.8704833984375,17159.083984375
inside_AF,74,27,57.4487953186035,16220.8330078125
inside_AF,122,84,55.7530136108398,15926.75
inside_AF,69,48,58.2138557434082,17282.833984375
inside_AF,66,66,54.2801208496094,19164.75
inside_AF,109,60,52.7078323364258,14948.75
inside_AF,122,79,52,14922.25
inside_AF,93,52,50.8343391418457,15196.8330078125
inside_AF,116,66,53.2078323364258,14894.3330078125
inside_AF,133,76,51,14757.0830078125
inside_AF,119,84,51.8584327697754,15126.75
inside_AF,88,67,62,18797.5
inside_AF,122,82,52.1054229736328,14921.4169921875
inside_AF,118,85,51,15158.8330078125
