species,precip_seasonality,temp_diurnal_range,soil_pH,solar_radiation
albicans,76.6391623670308,113.285503358954,54.8954127545546,16159.447431671
albicans,84.3886127224339,133.601634593046,54.4268323405567,16737.7090910017
albicans,78.8921593288954,114.885220117587,52.3681216255202,16476.1703216298
albicans,77.6107353194508,99.8160616119951,56.7436375522157,16414.6423524268
albicans,78.2383949029272,130.260849733885,53.4459063685733,15146.9265298071
albicans,61.6073631900798,120.103632701763,52.122912471251,15548.3921985415
albicans,72.4892257744019,97.496367380459,54.1768763872758,16228.5796345479
albicans,77.0243655188547,120.271958030369,55.0302070636686,15618.2790230344
albicans,70.1433518380119,147.512198236374,46.3132127788422,14686.192051299
albicans,48.6946601693732,90.4645890988979,46.0282697410104,17827.9117360106
albicans,67.0677594632833,129.618144008022,56.506892684007,15444.3248405094
