longitude,latitude,domains
-50.294185,-24.859051,AF
-47.695034,-23.810087,AF
-45.457835,-22.723727,AF
-48.828772,-25.488073,AF
-47.742222,-24.815,AF
-50.535834,-27.286346,AF
-50.573975,-29.455204,AF
-52.498968,-23.950358,AF
-46.772455,-23.899916,AF
-52.87,-26.38,AF
-45.415708,-23.818425,AF
-48.499985,-27.539248,AF
-48.8697223,-27.0055556,AF
-51.1172223,-27.7169445,AF
-48.78,-27.72,AF
-51.9302778,-26.64,AF
-46.611333,-21.7762,AF
-44.316742,-22.031884,AF
-50.448494,-29.649408,out
-46.545919,-23.498924,AF
-47.571972,-24.703788,AF
-50.94,-27.63,AF
-51.3880555,-27.2697223,AF
-49.4088889,-28.6219445,AF
-49.2322223,-28.6191667,AF
-49.375,-28.01,AF
-50.0394444,-27.5402777,AF
-51.548158,-26.166868,AF
-50.823585,-28.898788,AF
-44.611772,-21.327271,AF
-43.696389,-20.488889,AF
-43.657778,-20.109167,AF
-43.38891,-18.621946,AF
-46.783333,-24.166667,AF
-48.952519,-26.804488,AF
-48.236861,-25.46975,out
-48.637505,-25.959361,AF
-45.37,-23.41,AF
-49.134583,-27.026611,AF
-47.009199,-24.345705,AF
-47.078842,-24.38048,AF
-49.4119444,-28.2597222,AF
-48.87,-28.44,AF
-43.539831,-20.377683,AF
-47.538922,-22.672564,AF
-53.087069,-23.767614,AF
-46.723192,-20.88823,AF
-50.597634,-24.326798,AF
-49.1894444,-26.9197223,AF
-47.348864,-23.121553,AF
-44.791858,-22.548802,AF
-45.333333,-22.488889,AF
-52.225673,-26.325994,AF
-52.479831,-25.353569,AF
-53.07371,-25.772545,AF
-51.140521,-23.346714,AF
-49.2705556,-26.9502778,AF
-51.968742,-23.010798,AF
-52.106533,-23.929926,AF
-51.95,-23.916667,AF
-46.974722,-23.036111,AF
-41.929444,-21.519444,AF
-49.378,-23.391,AF
-43.524444,-22.483889,AF
-43.888805,-22.011409,AF
-40.3215,-19.5803,AF
-44.734722,-23.182222,AF
-43.466667,-22.566667,AF
-46.535688,-23.691503,AF
-48.806349,-27.551462,AF
-47.850833,-24.879444,AF
-43.483333,-21.933333,AF
-47.783123,-24.641688,AF
-46.415299,-23.806305,AF
-47.9267,-25.0147,AF
-47.966514,-25.140513,AF
-49.77,-26.8216667,AF
-46.39872,-23.996543,AF
-48.6163886,-26.1172,AF
-45.05,-21.6,AF
-48.598722,-25.694167,AF
-42.586478,-22.353674,AF
-47.931405,-25.078091,AF
-49.4286111,-26.7855555,AF
-48.7766667,-26.5480555,AF
-43.275432,-22.925745,AF
-49.049167,-27.179722,AF
-39.5361,-14.7703,AF
-41.474106,-20.36322,AF
-40.862,-20.292,AF
-44.781667,-22.455556,AF
-46.883611,-23.640833,AF
-40.859722,-19.992778,AF
-41.115278,-18.921111,AF
-40.614444,-20.173056,AF
-41.203889,-21.3425,AF
-43.953837,-20.262654,AF
-40.6075,-19.931389,AF
-49.007763,-27.548645,AF
-48.705664,-27.610669,AF
-42.9125,-22.48222222,AF
-44.5633010864258,-22.4960994720459,AF
-42.5311012268066,-22.2819004058838,AF
-47.994149,-25.210336,AF
-46.489917,-23.743611,AF
-46,-23.5833333,AF
-45.848812,-23.570167,AF
-46.679032,-23.729205,AF
-49.0416666,-26.5336111,AF
-48.670767,-26.071833,AF
-49.0486111,-26.3697223,AF
-49.027896,-27.056024,AF
-52.833846,-29.660785,out
-49.633333,-24.133333,AF
-49.236765,-25.442363,AF
-49.3049,-25.4169,AF
-45.1761,-22.6136,AF
-49.969159,-25.172096,out
-51.1219445,-27.8108333,AF
-50.4,-26.64,AF
-49.808659,-25.551418,AF
-51.191053,-26.074497,AF
-46.509216,-23.811916,AF
-51.09141,-29.106536,AF
-49.026,-25.059,AF
-50.390567,-29.423391,AF
-51.757822,-26.577875,AF
